,Company,TypeName,Inches,Cpu,Ram,Memory1,Memory2,Gpu,OpSys,Price
160,Asus,Notebook,15.6,AMD A9-Series,4,1TB HDD,No memory,AMD Radeon R5,Windows 10,21471.84
161,Acer,Notebook,17.3,Intel Core i5,4,256GB SSD,No memory,Nvidia GeForce MX150,Windows 10,42890.4
162,Dell,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,AMD Radeon 520,Windows 10,38787.84
163,Lenovo,Gaming,15.6,Intel Core i7,16,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,57489.12
164,Acer,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,18541.44
165,MSI,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,95850.72
166,Acer,Notebook,15.6,Intel Pentium Quad,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,19367.8128
167,Dell,Gaming,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,56502.9072
168,Acer,Notebook,17.3,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce MX150,Windows 10,45501.12
169,HP,Notebook,13.3,Intel Core i5,4,500GB HDD,No memory,Intel UHD Graphics,Windows 10,40173.12
170,Huawei,Ultrabook,13.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,71874.72
171,HP,Notebook,17.3,Intel Core i5,6,2TB HDD,No memory,AMD Radeon 520,Windows 10,37242.72
172,Lenovo,Notebook,15.6,AMD A6-Series,4,500GB HDD,No memory,AMD Radeon R4,No OS,16463.52
173,Toshiba,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,26053.92
174,HP,Notebook,17.3,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,49177.44
175,Dell,Notebook,15.6,Intel Core i3,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,24455.52
176,Acer,Notebook,15.6,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,23922.72
177,MSI,Gaming,18.4,Intel Core i7,32,512GB SSD,1TB HDD,Nvidia GTX 980,Windows 10,149130.72
178,Lenovo,Notebook,15.6,Intel Core i5,8,128GB SSD,1TB HDD,AMD R17M-M1-70,Windows 10,43316.64
179,HP,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,79866.72
180,Dell,Notebook,15.6,Intel Core i7,16,256GB SSD,2TB HDD,AMD Radeon 530,Linux,55890.72
181,Dell,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,74538.72
182,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,512GB SSD,No memory,Intel UHD Graphics,Windows 10,98514.72
183,Toshiba,Notebook,15.6,Intel Core i5,8,128GB SSD,No memory,Intel HD Graphics,Windows 10,42251.04
184,Xiaomi,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce MX150,No OS,63882.72
185,Dell,Notebook,17.3,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce 150MX,Windows 10,82530.72
186,Dell,Notebook,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce GTX,Windows 10,127712.16
187,Lenovo,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,No OS,41505.12
188,Acer,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,52693.92
189,Dell,Notebook,17.3,Intel Core i7,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,57808.8
191,Vero,Notebook,14.0,Intel Celeron Dual,4,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,13852.8
192,Xiaomi,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce MX150,No OS,53274.672
193,Lenovo,Notebook,17.3,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce MX150,No OS,37189.44
194,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,1TB HDD,No memory,Intel UHD Graphics,Windows 10,44701.92
195,HP,Notebook,17.3,Intel Core i5,8,1TB HDD,No memory,Nvidia GeForce 930MX,Windows 10,48697.92
196,Razer,Gaming,17.3,Intel Core i7,32,1TB SSD,No memory,Nvidia GeForce GTX,Windows 10,324954.72
197,HP,Notebook,13.3,Intel Core i5,8,512GB SSD,No memory,Intel UHD Graphics,Windows 10,51095.52
198,HP,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,73473.12
199,HP,Notebook,17.3,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,55677.6
200,Dell,Gaming,15.6,Intel Core i7,16,512GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,98301.6
201,Lenovo,Notebook,15.6,Intel Core i5,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,26267.04
202,Acer,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce 940MX,Windows 10,39533.76
203,Lenovo,Gaming,15.6,Intel Core i7,16,512GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,93186.72
204,Dell,Workstation,15.6,Intel Xeon E3-1505M,16,256GB SSD,1TB HDD,Nvidia Quadro M1200,Windows 10,162770.4
205,Lenovo,Gaming,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce GTX,No OS,74485.44
206,Dell,Notebook,15.6,Intel Core i3,6,1TB HDD,No memory,Intel HD Graphics,Windows 10,23389.92
207,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,103842.72
208,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,77202.72
210,Acer,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Linux,41505.12
211,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,74964.96
212,HP,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,No OS,18594.72
213,Lenovo,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,No OS,29250.72
214,Huawei,Ultrabook,13.0,Intel Core i7,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,79866.72
215,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,AMD Radeon 530,Windows 10,49650.5664
216,Lenovo,Notebook,17.3,Intel Core i5,8,1TB HDD,No memory,Nvidia GeForce GTX,No OS,31381.92
217,HP,Notebook,14.0,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,54931.68
218,Dell,Ultrabook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,61218.72
219,Dell,2 in 1 Convertible,13.3,Intel Core i7,16,512GB SSD,No memory,Intel UHD Graphics,Windows 10,68145.12
220,Dell,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,AMD Radeon 520,Linux,36089.208
221,Lenovo,2 in 1 Convertible,14.0,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,47898.72
222,Toshiba,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,72620.64
223,HP,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Intel UHD Graphics,Windows 10,42304.32
224,Dell,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,130873.7952
225,Acer,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,44328.96
226,Dell,Notebook,15.6,Intel Core i7,16,1TB HDD,No memory,AMD Radeon R7,Windows 10,45768.0528
227,Asus,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 920MX,Windows 10,40972.32
228,Asus,Notebook,17.3,Intel Core i5,8,256GB SSD,500GB HDD,Nvidia GeForce GTX,Windows 10,47472.48
229,HP,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,AMD FirePro W4190M,Windows 10,67612.32
230,Asus,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,21258.1872
231,HP,Notebook,15.6,AMD E-Series,4,500GB HDD,No memory,AMD Radeon R2,Windows 10,17582.4
232,Lenovo,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,79866.72
233,Dell,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,45767.52
234,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,36709.92
235,Dell,Notebook,15.6,Intel Core i7,16,256GB SSD,No memory,AMD Radeon R7,Linux,47898.72
236,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Linux,20779.2
237,Asus,Notebook,15.6,AMD A10-Series,4,128GB SSD,1TB HDD,AMD Radeon R5,Windows 10,30636.0
238,Asus,Gaming,17.3,Intel Core i7,32,512GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,207259.2
239,Acer,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,45074.88
240,Lenovo,Notebook,15.6,Intel Core i3,8,128GB SSD,No memory,Intel HD Graphics,Windows 10,31381.92
